school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,failures,guardian,traveltime,studytime,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G2,G1,G3,G3_Prediction
GP,F,18.0,U,GT3,A,4.0,4.0,at_home,teacher,course,0.0,mother,2.0,2.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,6.0,5.0,6.0,6.03125
GP,F,17.0,U,GT3,T,1.0,1.0,at_home,other,course,0.0,father,1.0,2.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0,5.96875
GP,F,15.0,U,LE3,T,1.0,1.0,at_home,other,other,3.0,mother,1.0,2.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,8.0,7.0,10.0,9.171875
GP,F,15.0,U,GT3,T,4.0,2.0,health,services,home,0.0,mother,1.0,3.0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,14.0,15.0,15.0,14.7421875
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,0.0,father,1.0,2.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,10.0,6.0,10.0,10.0
GP,M,16.0,U,LE3,T,4.0,3.0,services,other,reputation,0.0,mother,1.0,2.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0,15.1171875
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,home,0.0,mother,1.0,2.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0,11.4765625
GP,F,17.0,U,GT3,A,4.0,4.0,other,teacher,home,0.0,mother,2.0,2.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,5.0,6.0,6.0,6.046875
GP,M,15.0,U,LE3,A,3.0,2.0,services,other,home,0.0,mother,1.0,2.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,18.0,16.0,19.0,18.578125
GP,M,15.0,U,GT3,T,3.0,4.0,other,other,home,0.0,mother,1.0,2.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,15.0,14.0,15.0,15.3125
GP,F,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,0.0,mother,1.0,2.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,8.0,10.0,9.0,7.9609375
GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,0.0,father,3.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,12.0,10.0,12.0,11.9921875
GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,0.0,father,1.0,1.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14.0,14.0625
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,course,0.0,mother,2.0,2.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0,10.703125
GP,M,15.0,U,GT3,A,2.0,2.0,other,other,home,0.0,other,1.0,3.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,16.0,14.0,16.0,16.015625
GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,0.0,mother,1.0,1.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14.0,13.96875
GP,F,16.0,U,GT3,T,4.0,4.0,services,services,reputation,0.0,mother,1.0,3.0,no,yes,yes,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,14.0,13.0,14.0,14.046875
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,reputation,0.0,mother,3.0,2.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,10.0,8.0,10.0,10.046875
GP,M,17.0,U,GT3,T,3.0,2.0,services,services,course,3.0,mother,1.0,1.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,5.0,6.0,5.0,5.140625
GP,M,16.0,U,LE3,T,4.0,3.0,health,other,home,0.0,father,1.0,1.0,no,no,yes,yes,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,10.0,8.0,10.0,9.953125
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,reputation,0.0,mother,1.0,2.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,14.0,13.0,15.0,14.5390625
GP,M,15.0,U,GT3,T,4.0,4.0,health,health,other,0.0,father,1.0,1.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,15.0,12.0,15.0,15.1953125
GP,M,16.0,U,LE3,T,4.0,2.0,teacher,other,course,0.0,mother,1.0,2.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16.0,15.7890625
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,reputation,0.0,mother,2.0,2.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0,13.0,12.0,12.2421875
GP,F,15.0,R,GT3,T,2.0,4.0,services,health,course,0.0,mother,1.0,3.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9.0,10.0,8.0,8.25
GP,F,16.0,U,GT3,T,2.0,2.0,services,services,home,2.0,mother,1.0,1.0,no,yes,yes,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,9.0,6.0,8.0,7.9609375
GP,M,15.0,U,GT3,T,2.0,2.0,other,other,home,0.0,mother,1.0,1.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0,12.0,11.0,11.1953125
GP,M,15.0,U,GT3,T,4.0,2.0,health,services,other,0.0,mother,1.0,1.0,no,no,yes,no,yes,yes,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,16.0,15.0,15.0,15.4609375
GP,M,16.0,U,LE3,A,3.0,4.0,services,other,home,0.0,mother,1.0,2.0,yes,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0,11.0,11.0,11.0390625
GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,home,0.0,mother,1.0,2.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,12.0,10.0,11.0,11.328125
GP,M,15.0,U,GT3,T,4.0,4.0,health,services,home,0.0,mother,1.0,2.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,11.0,9.0,12.0,11.6875
GP,M,15.0,U,GT3,T,4.0,4.0,services,services,reputation,0.0,mother,2.0,2.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,16.0,17.0,17.0,16.515625
GP,M,15.0,R,GT3,T,4.0,3.0,teacher,at_home,course,0.0,mother,1.0,2.0,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,16.0,17.0,16.0,16.0390625
GP,M,15.0,U,LE3,T,3.0,3.0,other,other,course,0.0,mother,1.0,2.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,10.0,8.0,12.0,11.109375
GP,M,16.0,U,GT3,T,3.0,2.0,other,other,home,0.0,mother,1.0,1.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,14.0,12.0,15.0,14.6171875
GP,F,15.0,U,GT3,T,2.0,3.0,other,other,other,0.0,father,2.0,1.0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1.0,1.0,1.0,5.0,0.0,7.0,8.0,6.0,5.6171875
GP,M,15.0,U,LE3,T,4.0,3.0,teacher,services,home,0.0,mother,1.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,2.0,16.0,15.0,18.0,17.109375
GP,M,16.0,R,GT3,A,4.0,4.0,other,teacher,reputation,0.0,mother,2.0,3.0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,16.0,15.0,15.0,15.4375
GP,F,15.0,R,GT3,T,3.0,4.0,services,health,course,0.0,mother,1.0,3.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0,12.0,11.0,11.28125
GP,F,15.0,R,GT3,T,2.0,2.0,at_home,other,reputation,0.0,mother,1.0,1.0,yes,yes,yes,yes,yes,yes,no,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,13.0,14.0,13.0,13.28125
GP,F,16.0,U,LE3,T,2.0,2.0,other,other,home,1.0,mother,2.0,2.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,25.0,10.0,7.0,11.0,10.515625
GP,M,15.0,U,LE3,T,4.0,4.0,teacher,other,home,0.0,other,1.0,1.0,no,yes,no,no,no,yes,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0,12.0,12.0,12.1640625
GP,M,15.0,U,GT3,T,4.0,4.0,services,teacher,course,0.0,father,1.0,2.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,18.0,19.0,18.0,18.125
GP,M,15.0,U,GT3,T,2.0,2.0,services,services,course,0.0,father,1.0,1.0,yes,yes,no,no,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,11.0,8.625
GP,F,16.0,U,LE3,T,2.0,2.0,other,at_home,course,1.0,father,2.0,2.0,yes,no,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10.0,10.0,9.0,9.2265625
GP,F,15.0,U,LE3,A,4.0,3.0,other,other,course,0.0,mother,1.0,2.0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,8.0,8.0,6.0,6.875
GP,F,16.0,U,LE3,A,3.0,3.0,other,services,home,0.0,mother,1.0,2.0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,12.0,11.0,11.0,11.125
GP,M,16.0,U,GT3,T,4.0,3.0,health,services,reputation,0.0,mother,1.0,4.0,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19.0,19.0,20.0,19.4453125
GP,M,15.0,U,GT3,T,4.0,2.0,teacher,other,home,0.0,mother,1.0,2.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15.0,15.0,14.0,14.484375
GP,F,15.0,U,GT3,T,4.0,4.0,services,teacher,other,1.0,father,1.0,2.0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,7.0,7.0,7.0,6.7890625
GP,F,16.0,U,LE3,T,2.0,2.0,services,services,course,0.0,mother,3.0,2.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,2.0,13.0,12.0,13.0,12.75
GP,F,15.0,U,LE3,T,4.0,2.0,health,other,other,0.0,mother,1.0,2.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,13.0,11.0,13.0,13.3203125
GP,M,15.0,U,LE3,A,4.0,2.0,health,health,other,1.0,father,2.0,1.0,no,no,no,no,yes,yes,no,no,5.0,5.0,5.0,3.0,4.0,5.0,6.0,11.0,11.0,10.0,10.4453125
GP,F,15.0,U,GT3,T,4.0,4.0,services,services,course,0.0,mother,1.0,1.0,yes,yes,yes,no,yes,yes,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,10.0,8.0,11.0,10.0859375
GP,F,15.0,U,LE3,A,3.0,3.0,other,other,other,0.0,mother,1.0,1.0,no,no,yes,no,yes,yes,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,6.0,13.0,10.0,13.0,12.875
GP,F,16.0,U,GT3,A,2.0,1.0,other,other,other,0.0,mother,1.0,2.0,no,no,yes,yes,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,9.0,8.0,10.0,9.6796875
GP,F,15.0,U,GT3,A,4.0,3.0,services,services,reputation,0.0,mother,1.0,2.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0.0,15.0,14.0,15.0,15.078125
GP,M,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,0.0,mother,1.0,2.0,no,yes,no,yes,yes,yes,no,no,3.0,2.0,2.0,1.0,1.0,5.0,4.0,15.0,14.0,15.0,15.046875
GP,M,15.0,U,LE3,T,1.0,2.0,other,at_home,home,0.0,father,1.0,2.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,9.0,9.2109375
GP,F,16.0,U,GT3,T,4.0,2.0,services,other,course,0.0,mother,1.0,2.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,16.0,15.0,16.0,15.90625
GP,F,16.0,R,GT3,T,4.0,4.0,health,teacher,other,0.0,mother,1.0,2.0,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4.0,2.0,3.0,4.0,6.0,11.0,10.0,11.0,11.0390625
GP,F,16.0,U,GT3,T,1.0,1.0,services,services,course,0.0,father,4.0,1.0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,6.0,8.0,10.0,11.0,9.8984375
GP,F,16.0,U,LE3,T,1.0,2.0,other,services,reputation,0.0,father,1.0,2.0,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3.0,1.0,1.0,1.0,4.0,10.0,8.0,9.0,9.4296875
GP,F,16.0,U,GT3,T,4.0,3.0,teacher,health,home,0.0,mother,1.0,3.0,yes,yes,yes,yes,yes,yes,yes,no,3.0,4.0,4.0,2.0,4.0,4.0,2.0,9.0,10.0,9.0,9.0703125
GP,F,15.0,U,LE3,T,4.0,3.0,services,services,reputation,0.0,father,1.0,2.0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10.0,10.0,10.0,9.2734375
GP,F,16.0,U,LE3,T,4.0,3.0,teacher,services,course,0.0,mother,3.0,2.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,1.0,2.0,15.0,16.0,15.0,15.328125
GP,M,15.0,U,GT3,A,4.0,4.0,other,services,reputation,0.0,mother,1.0,4.0,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3.0,5.0,5.0,3.0,4.0,13.0,13.0,12.0,12.4296875
GP,F,16.0,U,GT3,T,3.0,1.0,services,other,course,0.0,mother,1.0,4.0,yes,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7.0,7.0,6.0,6.1953125
GP,F,15.0,R,LE3,T,2.0,2.0,health,services,reputation,0.0,mother,2.0,2.0,yes,yes,yes,no,yes,yes,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,2.0,9.0,8.0,8.0,8.390625
GP,F,15.0,R,LE3,T,3.0,1.0,other,other,reputation,0.0,father,2.0,4.0,no,yes,no,no,no,yes,yes,no,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16.0,16.0,16.0,15.78125
GP,M,16.0,U,GT3,T,3.0,1.0,other,other,reputation,0.0,father,2.0,4.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,15.0,13.0,15.0,15.2890625
GP,M,15.0,U,GT3,T,4.0,2.0,other,other,course,0.0,mother,1.0,4.0,no,no,no,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,1.0,3.0,0.0,10.0,10.0,10.0,9.2890625
GP,F,15.0,R,GT3,T,1.0,1.0,other,other,reputation,2.0,mother,1.0,2.0,yes,yes,no,no,no,yes,yes,yes,3.0,3.0,4.0,2.0,4.0,5.0,2.0,6.0,8.0,5.0,5.3046875
GP,M,16.0,U,GT3,T,3.0,1.0,other,other,reputation,0.0,mother,1.0,1.0,no,no,no,yes,yes,yes,no,no,5.0,3.0,2.0,2.0,2.0,5.0,2.0,12.0,12.0,14.0,13.375
GP,F,16.0,U,GT3,T,3.0,3.0,other,services,home,0.0,mother,1.0,2.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,54.0,12.0,11.0,11.0,11.0546875
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,home,0.0,mother,1.0,2.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,5.0,6.0,9.0,9.0,10.0,9.4453125
GP,M,15.0,U,GT3,T,4.0,0.0,teacher,other,course,0.0,mother,2.0,4.0,no,no,no,yes,yes,yes,yes,no,3.0,4.0,3.0,1.0,1.0,1.0,8.0,11.0,11.0,10.0,10.2890625
GP,F,16.0,U,GT3,T,2.0,2.0,other,other,reputation,0.0,mother,1.0,4.0,no,no,yes,no,yes,yes,yes,yes,5.0,2.0,3.0,1.0,3.0,3.0,0.0,11.0,11.0,11.0,11.1015625
GP,M,17.0,U,GT3,T,2.0,1.0,other,other,home,3.0,mother,2.0,1.0,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,8.0,10.0,9.4765625
GP,F,16.0,U,GT3,T,3.0,4.0,at_home,other,course,0.0,mother,1.0,2.0,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3.0,1.0,2.0,3.0,12.0,5.0,5.0,5.0,5.3828125
GP,M,15.0,U,GT3,T,2.0,3.0,other,services,course,0.0,father,1.0,1.0,yes,yes,yes,yes,no,yes,yes,yes,3.0,2.0,2.0,1.0,3.0,3.0,2.0,12.0,10.0,12.0,11.765625
GP,M,15.0,U,GT3,T,2.0,3.0,other,other,home,0.0,mother,1.0,3.0,yes,no,yes,no,no,yes,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,4.0,10.0,11.0,11.0,10.578125
GP,F,15.0,U,LE3,T,3.0,2.0,services,other,reputation,0.0,mother,1.0,2.0,no,yes,yes,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,10.0,6.0,7.0,6.0,6.046875
GP,M,15.0,U,LE3,T,2.0,2.0,services,services,home,0.0,mother,2.0,2.0,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,4.0,4.0,15.0,15.0,15.0,15.2109375
GP,F,15.0,U,GT3,T,1.0,1.0,other,other,home,0.0,father,1.0,2.0,no,yes,no,yes,no,yes,yes,no,4.0,3.0,2.0,2.0,3.0,4.0,2.0,10.0,9.0,10.0,10.1171875
GP,F,15.0,U,GT3,T,4.0,4.0,services,services,reputation,2.0,father,2.0,2.0,no,no,yes,no,yes,yes,yes,yes,4.0,4.0,4.0,2.0,3.0,5.0,6.0,9.0,7.0,8.0,8.1640625
GP,F,16.0,U,LE3,T,2.0,2.0,at_home,other,course,0.0,mother,1.0,2.0,no,yes,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,2.0,2.0,4.0,7.0,8.0,6.0,6.5
GP,F,15.0,U,GT3,T,4.0,2.0,other,other,reputation,0.0,mother,1.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,1.0,4.0,14.0,13.0,14.0,14.1796875
GP,M,16.0,U,GT3,T,2.0,2.0,services,other,reputation,1.0,father,2.0,2.0,no,no,yes,yes,no,yes,yes,no,4.0,4.0,2.0,1.0,1.0,3.0,12.0,10.0,11.0,10.0,10.0390625
GP,M,16.0,U,LE3,A,4.0,4.0,teacher,health,reputation,0.0,mother,1.0,2.0,no,yes,no,no,yes,yes,no,no,4.0,1.0,3.0,3.0,5.0,5.0,18.0,6.0,8.0,7.0,6.890625
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,0.0,mother,1.0,3.0,no,yes,yes,no,yes,yes,yes,yes,4.0,3.0,3.0,1.0,3.0,4.0,0.0,7.0,7.0,8.0,5.5859375
GP,F,15.0,U,GT3,T,4.0,3.0,services,other,reputation,0.0,mother,1.0,1.0,no,no,yes,yes,yes,yes,yes,no,4.0,5.0,5.0,1.0,3.0,1.0,4.0,17.0,16.0,18.0,17.7578125
GP,F,16.0,U,LE3,T,3.0,1.0,other,other,home,0.0,father,1.0,2.0,yes,yes,no,no,yes,yes,no,no,3.0,3.0,3.0,2.0,3.0,2.0,4.0,6.0,7.0,6.0,6.078125
GP,F,16.0,U,GT3,T,4.0,2.0,teacher,services,home,0.0,mother,2.0,2.0,no,yes,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,1.0,0.0,10.0,11.0,10.0,9.21875
GP,M,15.0,U,LE3,T,2.0,2.0,services,health,reputation,0.0,mother,1.0,4.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,4.0,1.0,1.0,4.0,6.0,13.0,11.0,14.0,13.828125
GP,F,15.0,R,GT3,T,1.0,1.0,at_home,other,home,1.0,mother,2.0,4.0,yes,yes,yes,yes,yes,yes,yes,no,3.0,1.0,2.0,1.0,1.0,1.0,2.0,10.0,7.0,10.0,9.875
GP,M,16.0,R,GT3,T,4.0,3.0,services,other,reputation,0.0,mother,2.0,1.0,yes,yes,no,yes,no,yes,yes,no,3.0,3.0,3.0,1.0,1.0,4.0,2.0,15.0,11.0,15.0,15.1875
